,one_time_users,all_users,eventDate,device
0,1013,5374,2006-01-31,ANDROID
1,10,106,2006-01-31,FIREOS
2,919,4064,2006-01-31,IOS
3,341,740,2006-01-31,WEBGL
4,839,7241,2006-02-01,ANDROID
5,46,295,2006-02-01,FIREOS
6,2285,9265,2006-02-01,IOS
7,491,1029,2006-02-01,WEBGL
8,630,7639,2006-02-02,ANDROID
9,103,538,2006-02-02,FIREOS
10,2492,12120,2006-02-02,IOS
11,446,975,2006-02-02,WEBGL
12,548,8012,2006-02-03,ANDROID
13,87,695,2006-02-03,FIREOS
14,2525,13848,2006-02-03,IOS
15,625,1368,2006-02-03,WEBGL
16,418,7715,2006-02-04,ANDROID
17,96,810,2006-02-04,FIREOS
18,1945,13541,2006-02-04,IOS
19,653,1524,2006-02-04,WEBGL
20,398,7727,2006-02-05,ANDROID
21,89,914,2006-02-05,FIREOS
22,1882,13994,2006-02-05,IOS
23,570,1516,2006-02-05,WEBGL
24,385,7585,2006-02-06,ANDROID
25,91,978,2006-02-06,FIREOS
26,1834,14087,2006-02-06,IOS
27,536,1448,2006-02-06,WEBGL
28,327,7326,2006-02-07,ANDROID
29,72,1071,2006-02-07,FIREOS
30,1693,13716,2006-02-07,IOS
31,622,1597,2006-02-07,WEBGL
32,217,6774,2006-02-08,ANDROID
33,65,1041,2006-02-08,FIREOS
34,437,11243,2006-02-08,IOS
35,576,1579,2006-02-08,WEBGL
36,33,6141,2006-02-09,ANDROID
37,11,823,2006-02-09,FIREOS
38,143,9500,2006-02-09,IOS
39,500,1410,2006-02-09,WEBGL
40,32,6126,2006-02-10,ANDROID
41,4,740,2006-02-10,FIREOS
42,89,9130,2006-02-10,IOS
43,427,1289,2006-02-10,WEBGL
44,23,6101,2006-02-11,ANDROID
45,6,664,2006-02-11,FIREOS
46,53,8665,2006-02-11,IOS
47,555,1449,2006-02-11,WEBGL
48,22,6157,2006-02-12,ANDROID
49,4,611,2006-02-12,FIREOS
50,40,8499,2006-02-12,IOS
51,605,1575,2006-02-12,WEBGL
52,17,6175,2006-02-13,ANDROID
53,4,605,2006-02-13,FIREOS
54,43,8380,2006-02-13,IOS
55,495,1373,2006-02-13,WEBGL
56,19,6264,2006-02-14,ANDROID
57,5,592,2006-02-14,FIREOS
58,45,8457,2006-02-14,IOS
59,489,1368,2006-02-14,WEBGL
60,32,6418,2006-02-15,ANDROID
61,7,566,2006-02-15,FIREOS
62,40,8439,2006-02-15,IOS
63,475,1341,2006-02-15,WEBGL
64,30,6584,2006-02-16,ANDROID
65,10,554,2006-02-16,FIREOS
66,50,8522,2006-02-16,IOS
67,509,1289,2006-02-16,WEBGL
68,28,6768,2006-02-17,ANDROID
69,4,552,2006-02-17,FIREOS
70,50,8595,2006-02-17,IOS
71,514,1346,2006-02-17,WEBGL
72,28,6826,2006-02-18,ANDROID
73,2,514,2006-02-18,FIREOS
74,51,8410,2006-02-18,IOS
75,621,1510,2006-02-18,WEBGL
76,16,6888,2006-02-19,ANDROID
77,3,505,2006-02-19,FIREOS
78,42,8474,2006-02-19,IOS
79,547,1408,2006-02-19,WEBGL
80,16,7097,2006-02-20,ANDROID
81,4,511,2006-02-20,FIREOS
82,40,8480,2006-02-20,IOS
83,488,1335,2006-02-20,WEBGL
84,33,7313,2006-02-21,ANDROID
85,6,493,2006-02-21,FIREOS
86,50,8502,2006-02-21,IOS
87,627,1488,2006-02-21,WEBGL
88,43,7415,2006-02-22,ANDROID
89,6,510,2006-02-22,FIREOS
90,48,8514,2006-02-22,IOS
91,569,1382,2006-02-22,WEBGL
92,35,7432,2006-02-23,ANDROID
93,6,476,2006-02-23,FIREOS
94,41,8486,2006-02-23,IOS
95,538,1223,2006-02-23,WEBGL
96,45,7805,2006-02-24,ANDROID
97,7,516,2006-02-24,FIREOS
98,37,8711,2006-02-24,IOS
99,625,1348,2006-02-24,WEBGL
100,46,7894,2006-02-25,ANDROID
101,3,480,2006-02-25,FIREOS
102,40,8623,2006-02-25,IOS
103,673,1386,2006-02-25,WEBGL
104,50,8126,2006-02-26,ANDROID
105,3,485,2006-02-26,FIREOS
106,43,8745,2006-02-26,IOS
107,148,703,2006-02-26,WEBGL
108,54,8224,2006-02-27,ANDROID
109,4,485,2006-02-27,FIREOS
110,57,8798,2006-02-27,IOS
111,20,542,2006-02-27,WEBGL
112,68,8449,2006-02-28,ANDROID
113,3,468,2006-02-28,FIREOS
114,41,8797,2006-02-28,IOS
115,30,558,2006-02-28,WEBGL
116,101,8498,2006-03-01,ANDROID
117,9,460,2006-03-01,FIREOS
118,64,8702,2006-03-01,IOS
119,21,522,2006-03-01,WEBGL
120,441,8583,2006-03-02,ANDROID
121,20,469,2006-03-02,FIREOS
122,205,8661,2006-03-02,IOS
123,53,528,2006-03-02,WEBGL
